Model,MSE,RMSE,MAE,MAPE,R2 Score
CatboostRegressor,314302583496.81085,560626.9557351045,215846.08220397105,0.07170178015889549,0.9433663608397518
XGBRegressor,332639413115.5023,576749.0035669783,237213.15131840907,0.08399945379168228,0.9400622792111053
RandomForestRegressor,352844662176.30756,594007.2913494477,195259.0598825057,0.058071160513139354,0.9364215303132707
DecisionTreeRegressor,517360504317.24725,719277.7657603822,256166.50974179772,0.08554429207364035,0.9067777051296038
