Model,MSE,RMSE,MAE,MAPE,R2 Score
XGBRegressor,191218063294.16443,437284.8765898089,139669.17687716082,0.06922935790501925,0.9557029772317506
RandomForestRegressor,196863543187.88086,443693.073179964,106415.96776940202,0.03494330797937937,0.9543951617090876
LinearRegression,1222546019916.6714,1105688.0301046364,631749.4965596257,0.9467557476841594,0.7167885295639105
