Model,MSE,RMSE,MAE,MAPE,R2 Score
XGBRegressor,318955496585.4882,564761.451044145,215988.94255075537,0.09134082406208059,0.9425279604741663
RandomForestRegressor,322075199326.58124,567516.6951963451,189293.69155556572,0.06595969201937774,0.9419658266305287
LinearRegression,1724775869948.5537,1313307.2260322615,832231.9976310856,0.869955637713774,0.689215617752118
